Rang,Interpret,Sprache,Titel,Jahr,text
48,Brings,Kölsch,Superjeilezick,2001,"Maach noch ens die Tüt an, he is noch lang nit Schluss,
un uch noch en Fläsch op, ich will noch nit noh Huus.
Ich kenn en paar Schüss, die han jenau wie mer,
Bock op en Party, sag dat jeit doch hier.

Kumm, maach keine Ärjer, maach uns keine Stress.
Mer sin uch janz leis un maache keine Dress.
A beßje jet rauche, jet suffe un dann
loore ob mer mit dä Schüss jet danze kann.

Nä, wat wor dat dann fröher en superjeile Zick,
mit Träne in d'r Auge loor ich manchmol zurück.
Bin ich hück op d'r Roll nur noch half su doll,
doch hück Naach weiß ich nit wo dat enden soll.

Et weed immer späder, drusse weed et hell.
Mer sitze noch zesamme bei Biercher un Verzäll.
Et is fast wie fröher, doch ich muss noh Huus;
do fängt et an ze schneie, medden im August.



Et is mir dressejal ob ich hück umfall,
ob ich noch schwade, oder nur noch lall.
Erwachse weede kann ich uch morje noch.
Langsam weed et he jemötlich, denn die Schüss, die laufe op.

Nä, wat wor dat dann fröher en superjeile Zick,
mit Träne in d'r Auge loor ich manchmol zurück.
Bin ich hück op d'r Roll nur noch half su doll,
doch hück Naach weiß ich nit wo dat enden soll.

Nä, wat wor dat dann fröher en superjeile Zick,
mit Träne in d'r Auge loor ich manchmol zurück.
Bin ich hück op d'r Roll nur noch half su doll,
doch hück Naach weiß ich nit wo dat enden soll.

Nä, wat wor dat dann fröher en superjeile Zick,
mit Träne in d'r Auge loor ich manchmol zurück.
Bin ich hück op d'r Roll nur noch half su doll,
doch hück Naach weiß ich nit wo dat enden soll.

Nä, wat wor dat dann fröher en superjeile Zick,
mit Träne in d'r Auge loor ich manchmol zurück.
Bin ich hück op d'r Roll nur noch half su doll,
doch hück Naach weiß ich nit wo dat enden soll."
49,Funky Marys,Kölsch,D.A.N.Z.E.,2014,"Wat en Naach ey
ich kann nit sage
Wat öm mich röm
su all passeet
 
Es et schon morje
oder noch jestern
es et noch fröh
oder schon spät
 
Ich spür die Musik
Ich spür d'r Rhythmus
Ich spür dä Blick
Op ming Fijur
 
Ich spür dat Bloot
En minger Odre
We et em Takt, Takt, Takt
total pulsiert Kei zoröck
mer levve hück
JETZ ODER NIE!!!!!!!!!!!!
 Ich will danze
Ich will danze
Ich will danze met Dir
Ich will danze
Ich will danze
Ich will danze met Dir
 Wat en Naach ey
ich kann nit sage
Wat öm mich röm
su all passeet
 
denk nit an morje
oder an jestern
denn jetz un he (dä Augeblick)
es dat wat zählt
 
Ich spür mi Hätz, Mann
et es am jaaage
ich schrei et rus
elektrisiert
 
ich loss mich falle
will widder läävve
janz ohne Plan
un föhl mich frei Halt Dich fass
mer jevve Jaas
JETZ ODER NIE!!!!!!!!!!!! Et jitt kei zoröck
mer levve hück
kumm halt dich fass
hück Naach jevve mer Jaaaaaaaas Ich will danze
Ich will danze
Ich will danze met dir
Ich will danze
Ich will danze
Kumm danz doch met mir Lalalala
Lalalala
Lalalalalala
Lalalala
Lalalala
Danze met Dir!"
50,Tommy Engel,Kölsch,Du bes Kölle,2006,"Du bes Oberbürjermeister,du bes die KVB. 
Du bes Prinz, Buur und Jungfrau,bes och de FC. 

Du bes Tünnes, Schäl un Meisner, de Heinzelmännche Brunne. 
Bläck Fööss, Brings un Höhner un dem Herrjott jot gelunge. 

Du bes Ihrefeld, Niehl un Neppes, bes Sinnersdorf un Esch. 
Bes Kalk ja jut, och Bergheim häs Jlöck un bes och Pech. 


Du bes Kölle, ob de wills oder och nit 
Du bes Kölle, weil et söns kein Kölsche jitt. 
Du bes Kölle. Du bes super tolerant. 
Nemms jeden op de Ärm un an de Hand. 


Du bes Fastelovend, do bes janz nevebei Blootwosch, 
Kölsch un Levverwosch, de Zimmermann dat Ei. 

Du bes de Neven un Dumont, bes Oppenheim un Cie. 
Du bes kein Weltkulturstadt, dir deit nix mi wih. 

Du bes och de Vringsstroß, de Nord-Süd-Fahrt suwiesu. 
In Düxx bes du die Freiheit, dat alles dat bess du. 


Du bes Kölle, ob de wills oder och nit 
Du bes Kölle, weil et echte Kölsche nur in Kölle jitt. 
Du bes Kölle. Du bes super tolerant. 
Nemms jeden op de Ärm un an de Hand. 


Du bes dat jrößte Dorf un der jeilste Arsch der Welt. 
Du bes laache un och kriesche un häs de Musik bestellt. 

Wenn dir dat all noch nit jenooch is, dann bes de och noch de Rhing, 
de Dom, de Zoo, de Bahnhofsklo, im Hätze Sonnesching. 

Ne halve Hahn, ne janze Kähl , Schlofmötz un Filue. 
Du janz allein bes Kölle, janz Kölle dat bes du. 


Du bes Kölle, ob de wills oder och nit 
Du bes Kölle, weil et echte Kölsche nur in Kölle jitt. 
Du bes Kölle. Du bes super tolerant. 
Nemms jeden op de Ärm un an de Hand. 

Du nemms jeden op de Ärm un an de Hand. 

"
51,Bernd Stelter,Hochdeutsch,Mahatma,2004,"Mahatma Glück
Mahatma Pech
Mahatma Ghandi
man weiß im Leben vorher nie genau was kann die.
Die ganz Wahrheit kennt noch nicht mal der Computer.
Kann man vergessen oder eher Kamasutra
Die Maria die Maria das ist ne echte Paria.
Die nimmt dich zwar am Abend mit nach Haus,
doch da stellt sie sich als unberührbar raus.
Mahatma Glück
Mahatma Pech
Mahatma Ghandi
man weiß im Leben vorher nie genau was kann die.
Die ganz Wahrheit kennt noch nicht mal der Computer.
Kann man vergessen oder eher Kamasutra.
Bei der Lore, bei der Lore, fühlst du dich wie neu gebore
reinkarnation in alle Glieder
Erst glaubste du bist tot dann kommste wieder.
Mahatma Glück
Mahatma Pech

Mahatma Ghandi
man weiß im lebe vorher nie genau was kann die.
Die ganz Wahrheit kennt noch nicht mal der Computer.
Kann man vergessen oder eher Kamasutra.
Ich traf ne Traumfrau ersten Ranges am Ende unsres Ganges.
Sie sagte, auch wenn ich ganz freundlich bin du,
das mit uns zwei haut nie so richtig hin, du.
Mahatma Glück
Mahatma Pech
Mahatma Ghandi
man weiß im Leben vorher nie genau was kann die.
Die ganz Wahrheit kennt noch nicht mal der Computer.
Kann man vergessen oder eher Kamasutra.
Ich hab Karma im Pyjama
und du bist meine heilige Kuh
Mahatma Glück
Mahatma Pech
Mahatma Ghandi
man weiß im Leben vorher nie genau was kann die.
Die ganz Wahrheit kennt noch nicht mal der Computer.
Kann man vergessen oder eher Kamasutra.
Kann man vergessen oder eher Kamasutra.
Und jetzt fährt die kleine Indische Lokomotive
ganz Langsam am Ganges entlang nach Kalkutta.
Mahatma Glück
Mahatma Pech
Mahatma Ghandi
man weiß im Leben vorher nie genau was kann die.
Die ganz Wahrheit kennt noch nicht mal der Computer.
Kann man vergessen oder eher Kamasutra.
Mahatma Glück
Mahatma Pech
Mahatma Ghandi
man weiß im Leben vorher nie genau was kann die.
Die ganz Wahrheit kennt noch nicht mal der Computer.
Kann man vergessen oder eher Kamasutra.
Kann man vergessen oder eher Kamasutra."
52,Bläck Fööss,Hochdeutsch,Niemals geht man so ganz,1991,"Wenn man Abschied nimmt
geht nach unbestimmt
mit dem Wind wie Blätter wehn.

Singt met Abschiedsleed
dat sich om Fernweh drieht
om Horizonte Salz un Teer.

Wer singe Püngel schnürt
söök wo'e hinjehührt
hätt wie ne Zochvuel nit nur ei Zohuss.

Man lässt vieles hier
Freund ich danke dir
für den Kuß den letzten Gruß.

Ich will weitergehn
keine Träne sehn
so ein Abschied ist lang noch kein Tod.

Niemals geht man so ganz
irgendwas von mir bleibt hier
es hat seinen Platz immer bei dir.



Wenn't och noch esu sticht
stutz die Flüjel nit
dämm dae in de Käld kein Zokunft sieht.

Mach 'nem Vagabund doch et Hätz nit wund
fleech e Stöck met op singem Wääsch.

Doch dann lass' mich los
sieh die Welt ist groß
ohne Freiheit bin ich fast schon wie tot.

Niemals geht man so ganz
irgendwas von mir bleibt hier
es hat seinen Platz immer bei dir.

Niemals geht man so ganz
irgendwas von mir bleibt hier
es hat seinen Platz immer bei dir.

Ich verspreche hier
bin zurück bei dir
wenn der Wind von Süden weht.

Ich saach nit ""Lebwohl""
dat Woot dat klingt wie Hohn

völlig hohl
Maach et joot.

Sieh ich weine auch
Tränen sind wie Rauch
sie vergehn
dieser Käfig macht mich tot.

Niemals geht man so ganz
irgendwas von mir bleibt hier
es hat seinen Platz immer bei dir.

Niemals geht man so ganz
irgendwas von mir bleibt hier
es hat seinen Platz immer bei dir.

Nie verläßt man sich ganz
irgendwas von dir geht mit
es hat seinen Platz immer bei mir."
53,Höhner,Hochdeutsch,Wenn nicht jetzt wann dann,2007,"Kleine Tore, große Männer, das ist der Trend der Zeit.
Handball ist der Sport für Kenner, jederzeit zum Wurf bereit.
Irgendwann fängt es an, und auf einmal läuft das Spiel.
Freier Fall und der Ball landet unhaltbar im Ziel.

Dann wird es allen klar: So werden Wunder war,
komm wir holen uns den Weltpokal.
Wenn nicht jetzt, wann dann?
Wenn nicht hier, sag mir wo und wann?
Wenn nicht wir, wer sonst?
Es wird Zeit.
Komm wir nehmen das Glück in die Hand.

7 Spieler, 7 Meter, Trainer gib uns Kraft.
Das kann keiner so wie Heiner, wir haben es doch schon mal geschafft.
Wir wollen viel, haben ein Ziel und der Weg dahin ist schwer.
Vizemeister waren wir schon, doch diesmal wollen wir mehr.



Dann wird es allen klar: So werden Wunder war,
komm wir holen uns den Weltpokal.
Wenn nicht jetzt, wann dann?
Wenn nicht hier, sag mir wo und wann?
Wenn nicht wir, wer sonst?
Es wird Zeit.
Komm wir nehmen das Glück in die Hand.

Dann wird es allen klar: So werden Wunder war,
komm wir holen uns den Weltpokal.
Wenn nicht jetzt, wann dann?
Wenn nicht hier, sag mir wo und wann?
Wenn nicht wir, wer sonst?
Es wird Zeit.
Komm wir nehmen das Glück.

Wenn nicht jetzt, wann dann?
Wenn nicht hier, sag mir wo und wann?
Wenn nicht wir, wer sonst?
Es wird Zeit.
Komm wir nehmen das Glück in die Hand."
54,Höhner,Kölsch,Die Karawane zieht weiter,1998,"Dummer ne, dummer ne, dummer ne Klore!
Dummer ne, dummer ne, dummer ne Klore!

Hammer nit, hammer nit, hammer nit, hammer nit!
Hammer nit, hammer nit, hammer nit, hammer nit!

Oh jeh! So ne Driss, so ne Driss, so ne Driss!
Oh jeh! So ne Driss, so ne Driss, so ne Driss!

Jommer in en andere Kaschämm! Schämm!
Jommer in en andere Kaschämm!

Die Karawane zieht weiter
Der Sultan hält Doosch!
Dä Sultan hält Doosch!
Dä Sultan hält Doosch!
Die Karawane zieht weiter
Der Sultan hält Doosch!
Dä Sultan, dä Sultan dä hält Doosch!

Dummer ne, dummer ne, dummer ne Klore!
Dummer ne, dummer ne, dummer ne Klore!

Han evver, han evver, han evver nur Kabänes!
Han evver, han evver, han evver nur Kabänes!


Wolle mr, wolle mr, wolle mr, wolle mr nit!
Wolle mr, wolle mr, wolle mr, wolle mr nit!

Jommer in en andere Kaschämm! Schämm!
Jommer in en andere Kaschämm!

Die Karawane zieht weiter
Der Sultan hält Doosch!
Dä Sultan hält Doosch!
Dä Sultan hält Doosch!
Die Karawane zieht weiter
Der Sultan hält Doosch!
Dä Sultan, dä Sultan dä hält Doosch!

Doch Nathan der Weise, der wußte Bescheid
Der kannte ne Oase und die war nicht sehr weit!

Die Karawane zieht weiter
Der Sultan hält Doosch!
Dä Sultan hält Doosch!
Dä Sultan hält Doosch!
Die Karawane zieht weiter
Der Sultan hält Doosch!
Dä Sultan, dä Sultan dä hält Doosch!

Die Karawane zieht weiter
Der Sultan hält Doosch!
Dä Sultan hält Doosch!
Dä Sultan hält Doosch!
Die Karawane zieht weiter
Der Sultan hält Doosch!
Dä Sultan, dä Sultan dä hält Doosch, Jo!"
55,Höhner,Kölsch,Ich ben ne Räuber,1982,"Ich trof e Leckerche, ich jläuv, dat stund op mich,
Et sproch mich an: drinks de met mer e Bier?
Ich saach: Leev Mädche, ich muß dich warne,
Loss de Finger weg vun mir
:



Ich ben ene Räuber, leev Marielche,
Ben ne Räuber durch un durch.
Ich kann nit treu sin, läv en dr Daach ren,
Ich ben ne Räuber, maach mr kein Sorch.
Ich dun jän kaate bes fröh am Morje,
Verspelle off, wat ich nit han.
Bloß eins behalt ich, dat es ming Freiheit,
Die nimp mr keiner, sulang ich mich wehre kann.


Ich mein et hück ihrlich, wenn ich saach,
Ich maach Dich, doch bald kann dat janz anders sin.
Se dät bloß laache un sat: dat määt nix,
Morje weede mir wigger sin.
Am nächste Morje, ich hat kaum de Aure op,
Sat mieh Hätz: Jung, dich hät et erwisch!
He Marielche, ich han dich wirklich jän!
Do soh ich ne Zeddel om Köschedesch.
 II:

Ich ben och ene Räuber, leeve Pitter,
Ben ne Räuber durch un durch.
Ich kann nit treu sin, läv en dr Daach ren,
Ich ben ne Räuber, maach mr kein Sorch.
 II"
56,Paveier,Kölsch,Mir sin kölsche us Kölle am Rhing,2008,"Mir sin Kölsche us Kölle am Rhing
Mir sin stolz dodrupp un uns kritt keiner klein
Du triffs he an jeder Eck - Ne janz besondre Jeck
Mir sin Kölsche us Kölle am Rhing

Mir sin nit grad en Weltstadt - Dat iss uns scheissejal
Doch he triff sich Jott un alle Welt - Dat is bei uns normal
Und meddendrin do steiht hä - Schon bal zick dausend Johr
He weis jenau uns Eigenaat – die bliev su wie se wor

Mir sin Kölsche us Kölle am Rhing
Mir sin stolz dodrupp un uns kritt keiner klein
Du triffs he an jeder Eck - Ne janz besondre Jeck
Mir sin Kölsche us Kölle am Rhing



Mer fiere Fastelovend - mit Stunk un Komitee
Mir stonn op de Fortuna - op Haie un FC
Mer fiere uns jän selver - am leevst et janze Johr
Üvver uns weed of jelaach - doch dat mät uns keen jraue Hoor

Mir sin Kölsche us Kölle am Rhing
Mir sin stolz dodrupp un uns kritt keiner klein
Du triffs he an jeder Eck - Ne janz besondre Jeck
Mir sin Kölsche us Kölle am Rhing

Mir han der Kölsche Klüngel - un dä is uns offmals rääch
Durch uns Stadt läuf jrau un dreckisch - dä Rhing su singe Wäch
En kölsche Schnüss steiht niemols still - sät immer wat se will
Doch de Haupsach es et Hätz is joot - un dovon hammer vill

Mir sin Kölsche us Kölle am Rhing
Mir sin stolz dodrupp un uns kritt keiner klein
Du triffs he an jeder Eck - Ne janz besondre Jeck
Mir sin Kölsche us Kölle am Rhing
Mir sin Kölsche us Kölle am Rhing
Jo mir sin Kölsche us Kölle am Rhing"
57,Bläck Fööss,Kölsch,Rut und Wiess,2004,"Rut un wiess wie lieb ich dich 
Rut un wiess ich jöv et letzte Hemp für dich
Rut un wiess es unser Fahn 
Rut un wiess du bes Jesetz
Rut un wiess schlät et echte kölsche Hätz 

Wiess es die Unschuld
Die Liebe die es rut
Uns Junge sin jeräuch
Un uns Mädcher voller Jlut
Wiess sin uns Scheffe
Die fahren op dem Rhing
Rut jlänz d`r Dom
Em Ovendsonnesching

Wat wiess un rut es dat es kölsch
Wat kölsch es es och jot
Für Funke un de Südkurv heiß et oberste Jebot

Rut un wiess wie lieb ich dich…

Rut es d`r Wing 
D´r Schuum vum Kölsch es wiess
E Bützje an d`r Thek
Dovür es he keiner fies
Mir ston op d`r FC
op Fritte rut un wiess
Tomate Mozarella
Un e schön Spajetti Ies

Mir han en kölsche Mafia
Do klüngelt Jroß un Klein
Denn janz Kölle es un bliev
Ne Karnevalsverein

Rut un wiess wie lieb ich dich…
"
58,Kuhl un de Gäng,Kölsch,Ich han dä Millowitsch jesinn,2014,"Ich hann dä Millowitsch jesinn,
hä stunnt in Kölle op d’r Bühn
un braat mich janz us em Fassong
met dämm Leed vumm „Kölsche Jung“
Lalalalala … Ich, kleine Fetz wohr noch su jung
un hä wohr fass ald 100 Johr alt
Un wood op de Bühn jebraaht
Em wieße Sakko staats jemaaht,
stellt hä datt Mikro sich parat
Unn fängk zo singe aan
Hä stimmp datt Leedche vumm Husar aan,
die ARENA es am tobe
Ich stürz mich rin in datt Jewöhl
Wenn mr dobei is,
wenn 15.000 Kölsche Fründe singe
Jo DATT is e Jeföhl Völlig baff un faszineet,
uur ich dä Mann do op dr Bühn aan
Wie hätt hä datt jemaaht
Hä es fähdisch,
doch mr wullen noch e Leed un roofen
WILLY, … eine häss do noch parat!
Un datt, watt dann kom,
schlug mich völlig us de Schluffe
Sujet hatt ich noch nitt jehoot
Hä singk „Ich bin ne Kölsche Jung“ ,
die halve Hall fängk aan zo kriesche
Datt braht mich janz us em Fassong … met dämm Leed vumm „Kölsche Jung“


"
59,Räuber,Kölsch,Op dem Maat,1993,"Op dem Maat - De Räuber
Op dem Maat, op dem Maat,
Stonn die Buure,
Decke Eier, fuhle Prumme,
Lange Muhre.
Un die Lück, un die Lück,
Sin am luure,
Op die Eier, op die Prumme,
Op die Muhre.
Et Samsdaachs jeht die Mamma
Immer janz fröh op dr Maat.
Denn do jitt et fresche Eier,
Kappes un Salat.
En Maatfrau schreit
Aus voller Brust,
Dr Koppschlot Dreimarkvier,
Met Lüs un Schnecke inclusiv,
Dat es doch nit ze düür.
Op dem Maat, op dem Maat,
Stonn die Buure,

Decke Eier, fuhle Prumme,
Lange Muhre.
Un die Lück, un die Lück,
Sin am luure,
Op die Eier, op die Prumme,
Op die Muhre.
En Colonia, en Colonia
Un nevvenahn,
Do steht ene Kääl
Met Kappes un Schavou.
Dä Kappes es met Mess jedünk
Un Ferkesjauche pur.
Doch eines hätt hä nit bedaach,
Dat es doch sunneklor,
Dat och dr Mess hück nit mie es,
Wat hä ens fröher wor.
Op dem Maat, op dem Maat,
Stonn die Buure,
Decke Eier, fuhle Prumme,
Lange Muhre.
Un die Lück, un die Lück,
Sin am luure,
Op die Eier, op die Prumme,
Op die Muhre.
En Colonia, en Colonia
En Currywoosch,
Für zweschedurch,
Schmeckt he noch Jung un Alt,
Denn dofür sorch dr Curry-Jupp
Vum schöne Westerwald.
Un för die Woosch em Plastikdarm
Jewürz met vill Phosphat,
Do stonn sujar de Jröne
An dr Frittebud parat.
Op dem Maat, op dem Maat,
Stonn die Buure,
Decke Eier, fuhle Prumme,
Lange Muhre.
Un die Lück, un die Lück,
Sin am luure,
Op die Eier, op die Prumme,
Op die Muhre.
En Colonia, en Colonia
Op dem Maat, op dem Maat,
Stonn die Buure,
Decke Eier, fuhle Prumme,
Lange Muhre.
Un die Lück, un die Lück,
Sin am luure,
Op die Eier, op die Prumme,
Op die Muhre.
Op die Eier, op die Prumme,
Op die Muhre
Op dem Maat, op dem Maat,
Stonn die Buure"
60,Querbeat,Kölsch,Hück oder nie,2013,"Hück oder nie!
In 20 Johr will ich nit sagen
Hätte hätte ich doch domols met jemaat
Will nix bereue, dann keine Froch
Hück Hück es ne janz besondere Daach

Ich jeh aufs Janze, einmol d'r Held
die Stääne steihe joot för ne lange Naach
kumm mer fleeje hück öm die Welt
Un mi Hätz Hätz hat op de Moment jewaad

Oh Oh Oh hätte wenn un aber
Oh Oh Oh es alles nur jelaber

Hück, Hück oder Nie
Setz alles op ein Kaat
Hück, Hück oder Nie
Als wör et die letzte Naach
Hück, Hück oder Nie
Wat do aanpacks weed zo Jold
Hück, Hück oder Nie
Et es Zick Zick Zick för Rock'n Roll



In 20 Johr will ich nit sagen
Hätte Hätte ich mich domols doch jetraut
Et gab Kaate för Querbeat
Un ich han nur jesaat, nää die sin mer zo laut

Ich stell mir vüür, die Lück verzälle
Und ich hätt eines Daachs kei Jescheesch parat
Anstatt ze bieße, wor ich am belle
Und irjendwo han ich minge Draum jeparkt

Oh Oh Oh hätte wenn un aber
Oh oh oh is alles nur jelaber

Hück, Hück oder Nie
Setz alles op ein Kaat
Hück, Hück oder Nie
Als wör et die letzte Naach
Hück, Hück oder Nie
Wat do aanpacks weed zo Jold
Hück, Hück oder Nie
Et es Zick Zick Zick för Rock'n Roll

Un jetzt: Kuhglockensolo
jenoch Kuhglockensolo

Oh Oh Oh hätte wenn un aber
Oh oh oh es alles nur jelaber

Hück, Hück oder Nie
Setz alles op ein Kaat
Hück, Hück oder Nie
Als wör et die letzte Naach
Hück, Hück oder Nie
Wat do aanpacks weed zo Jold
Hück, Hück oder Nie
Et es Zick Zick Zick för Rock'n Roll"
61,Bläck Fööss,Kölsch,Bye Bye My Love,1985,"Bye bye my love, mach et jot,
bes zom nächste Mol.
Bye bye my love, du wors jot,
un eines, dat es klor,
ich weed dich nie, niemols verjesse,
denn die Naach met dir wor schön,
bye bye my love, auf Wiedersehn.


Schon als ich met dir jedanz han,
hatt' ich e wunderbar Jeföhl,
un irjendwie kom dann ding Hand dann,
do krät ich botterweiche Knee.

Un dann simmer zo dir, du lochs nevven mir,
häs leis zo mir jesaat:
Du, ich jläuv, du muß jon, dat mußte verston,
un deit et dir och noch esu wih.

Bye bye my love ....


Noch ene letzte Bleck zum Abschied,
du braats mich zärtlich an de Dür.
Un irjendwie kom dann ding Hand dann
un wollt 'ne Hunderter vun mir.
"
62,Räuber,Hochdeutsch,Wunder wunderbar,2010,"Man kann nur eine lieben, hat man mir oft gesagt 
Wo steht denn das geschrieben, hab ich so oft gefragt 
Man mag doch manchmal mehrere, mal Leichter- und mal Schwerere 
Doch dann kam dieser Tag, den ich nicht vergessen mag 
da kamst Du, und im Nu, kam die Liebe noch dazu 

Wunderbar, Wunderbar, dieser Traum mit uns wurde wahr
denn wir gehör'n zusammen, wir geh'n bis ans Ende der Welt

Ich wollte so oft alles, und wusste doch nicht was
Mein Herz das wollte dieses, mein Kopf der wollte das
Wie oft ist man verblendet, weiss niemals wie es endet
Wie oft dass man vergisst, dass Liebe kein Märchen ist
Ich weiss jetzt, was ich will, denn es sagt mir mein Gefühl

Wunderbar, Wunderbar, dieser Traum mit uns wurde wahr
denn wir gehör'n zusammen, wir geh'n bis ans Ende der Welt

Ach wie schön, ach wie schön, ach wie schön
ist es, so verliebt zu sein.
Ach wie schön, ach wie schön,
und mein Herz das will immer noch mehr


Mehr songtexte: http://www.songtextemania.com/wunderbar_songtext_de_rauber.html
Alle Infos über De Rauber: http://www.musictory.de/musik/"
63,Willy Millowitsch,Kölsch,Der treue Husar,1988,"Jetz wäd op die Trumm geklopp –
zimm bumm bumm, zimm bumm bumm.
Bes mir Kölsche stonn om Kopp –
zimm tärä bumm bumm.
Wat es dat doch en Köln su nett,
wenn langsam kütt d’r Winter,
et freut sich op die schöne Zick,
die Kölsche met dä Kinder.
Denn Fastelovend kütt eran
für echte kölsche Lück.
D’r Tünnes un d’r schäle Jeck
stonn widder en d’r Bütt.
Drömm dot Üch freue op d’r Fasteleer,
trekke m’r mem Zoch durch Kölle, krüz un quer,
jetz weed nit üverlaat, Marie es schon parat:
Tara, tara – jetz trekke m’r op d’r Maat!
Met Trummel un Zimm Bumm –
Singt Mädcher oder Jung:
Es war einmal ein treuer Husar,
Der liebt‘ sein Mädchen ein ganzes Jahr,
Ein ganzes Jahr und noch viel mehr,
Die Liebe nahm kein Ende mehr.
Jetz wäd op die Trumm geklopp –
zimm bumm bumm, zimm bumm bumm.
Bes mir Kölsche stonn om Kopp –
zimm tärä bumm bumm.
Sulang et noch e Kölle jitt
dunn mir uns dorop freue,
egal wat dat e Geld noch koss
dat dunn mir nit bereue…
Un wenn uns ens d’r Düvel höllt,
un nimmt uns met erav –
die Freud, sag ich, die mir gehatt,
die nimmp uns keiner av.
Drömm dot Üch freue op d’r Fasteleer,
trekke m’r mem Zoch durch Kölle, krüz un quer,
jetz weed nit üverlaat, Marie es schon parat:
Tara, tara – jetz trekke m’r op d’r Maat!
Met Trummel un Zimm Bumm –
Singt Mädcher oder Jung:
Es war einmal ein treuer Husar,
Der liebt‘ sein Mädchen ein ganzes Jahr,
Ein ganzes Jahr und noch viel mehr,
Die Liebe nahm kein Ende mehr."
64,Brings,Hochdeutsch,Man müsste nochmal 20 sein,2004,"Sitzt der Mensch beim Weine
werden alle seine
längst vergess?nen, alten Wünsche wach.
Und er hängt dem größten
und vielleicht dem besten
seiner oft geträumten Träume nach.

Kämen doch die Zeiten,
die, vergingen wieder,
käme doch die Jugend
einmal noch zurück.


Man müsste noch mal zwanzig sein und so verliebt wie damals,
und irgendwo am Wiesenrain vergessen die Zeit.
Und wenn das Herz dann ebenso entscheiden könnt wie damals,
ich glaube dann entschied es sich, noch mal, noch mal für Dich.



Ja, so mancher Zecher
sitzt vor leerem Becher,
wie vor seiner eignen Jugendzeit.
Und der Wein im Glase
rötete die Nase,
doch er trübte die Vergangenheit.

Könnt er doch noch einmal
alles neu beginnen,
könnt er doch noch einmal
alles besser tun.

Man müsste noch mal zwanzig sein und so verliebt wie damals,
und irgendwo am Wiesenrain vergessen die Zeit.
Und wenn das Herz dann ebenso entscheiden könnt wie damals,
ich glaube dann entschied es sich, noch mal, noch mal für Dich,
ich glaube dann entschied es sich, noch mal, noch mal für Dich

Du, ja du allein,
wirst den Traum mir verzeih?n,
den ich heut geträumt hab,
geträumt hab beim Wein.

Du, ja du allein,
wirst den Traum mir verzeih?n,
den ich heut geträumt hab
geträumt hab, geträumt hab, geträumt hab ?

Man müsste noch mal zwanzig sein und so verliebt wie damals,
und irgendwo am Wiesenrain vergessen die Zeit.
Und wenn das Herz dann ebenso entscheiden könnt wie damals,
ich glaube dann entschied es sich, noch mal, noch mal für Dich,

Man müsste noch mal zwanzig sein und so verliebt wie damals
und irgendwo am Wiesenrain vergessen die Zeit.
Und wenn das Herz dann ebenso entscheiden könnt wie damals,
ich glaube dann entschied es sich, noch mal, noch mal für Dich,
ich glaube dann entschied es sich, noch mal, noch mal, noch mal, noch mal für Dich."
65,Bernd Stelter,Hochdeutsch,Ich hab drei Haare auf der Brust,2001,"Ich hab 3 Haare auf der Brust ich bin ein Bär(*Bär Bär!!)
Ich zähl sie jeden Tag es werden halt nicht mehr;(*Mehr Mehr!!)
So ein Bär scheut in der Tierwelt überhaupt keinen Vergleich,
man kann mit Bären prima Kuscheln, denn so ein Bär ist herrlich weich.
Wers einmal ausprobiert hatt, will immer mehr.
Ich hab drei Haare auf der Brust ich bin ein Bär.(*Hey Ho, Hey Ho!!)

Ich kam zur Welt mit gut 12 Pfund, die Mama hatt geflucht.
Der Doctor schrieb erstmal ein Briefchen, an das Guinessbuch.
Den ganzen Kopf voll Glatze, wies fürs Baby sich geziert,
nur wo die Haare waren, hat die Mama irritiert.



Das erste schöne Mädchen hatte ich mit 18 Jahren.
Die Bude frei weil meine Eltern gerad beim Kegeln waren.
Keine 4 Minuten und wir standen nackig da.
Was hatt sie sich erschrocken, als sies Stummelschwänzchen sah.

Sie wollen die Hand von meiner Tochter, sprach ihr Vater, komm sie rein.
Ich sagte: Nur die Hand da fällt mir noch was lustigeres ein.
Sie habn kein Haus, kein Boot, kein Auto also sie machen mir Spaß.
Sie haben nicht mal Kleingeld für die Parkuhr, habn sie irgend was?

Der Vollmond schien es war November, es war unsre Hochzeitsnacht.
""Na und! Wann gehts denn weiter?!"" hat sie hinterher gefragt?
Nun sei mal nicht so ungeduldig, sei schön sittsam und schön brav,
denn so ein richtig dicker Bär hält nach der Paarung Winterschlaf."
